ID,Segment,Z1,Z2,Z3,Z4,Z5_1,Z5_2,Z5_3,Z5_4,Z5_5,Z5_6
1,0,48,3,47,3,0,0,0,0,0,0
2,0,43,3,89,3,0,0,0,1,0,0
3,1,48,2,24,6,0,0,0,0,0,1
4,0,28,3,52,7,0,0,1,0,0,0
5,0,54,3,84,2,0,0,0,0,0,1
6,0,62,2,46,4,0,0,1,0,0,0
7,0,48,2,39,3,0,0,1,0,0,0
8,0,46,3,87,4,0,0,0,0,1,0
9,0,59,2,21,6,0,0,0,1,0,0
10,0,53,3,76,4,0,0,1,0,0,0
11,0,21,3,63,6,0,0,1,0,0,0
12,0,54,3,53,4,0,1,0,0,0,0
13,0,41,3,81,4,0,0,1,0,0,0
14,0,22,2,45,6,1,0,0,0,0,0
15,0,37,2,38,5,0,0,1,0,0,0
16,0,22,3,77,5,0,0,1,0,0,0
17,0,51,2,81,5,0,0,1,0,0,0
18,0,54,2,26,1,0,0,1,0,0,0
19,0,30,2,67,6,0,0,1,0,0,0
20,0,57,2,65,3,0,0,1,0,0,0
21,0,40,2,74,5,0,0,1,0,0,0
22,0,64,3,48,5,1,0,0,0,0,0
23,0,19,2,47,5,0,0,0,1,0,0
24,0,41,2,87,7,0,0,0,0,0,1
25,0,58,3,48,5,0,0,1,0,0,0
26,0,48,3,86,5,0,0,1,0,0,0
27,0,45,2,90,4,0,0,1,0,0,0
28,0,22,3,51,3,0,0,0,0,0,1
29,0,27,3,62,5,0,0,1,0,0,0
30,0,52,3,41,5,0,0,0,0,0,1
31,0,54,2,57,4,0,0,0,1,0,0
32,0,31,1,75,4,1,0,0,0,0,0
33,0,63,2,94,6,0,0,1,0,0,0
34,0,47,3,56,6,0,0,1,0,0,0
35,0,44,3,40,1,0,0,1,0,0,0
36,0,28,2,46,5,0,0,1,0,0,0
37,0,22,1,60,5,0,0,0,1,0,0
38,0,51,3,43,2,0,0,0,0,0,1
39,0,48,2,62,6,0,0,1,0,0,0
40,0,59,2,83,4,0,0,1,0,0,0
41,0,46,3,75,5,0,0,0,0,0,1
42,0,48,3,44,4,0,0,0,0,1,0
43,0,41,2,73,5,0,0,0,0,0,1
44,0,51,2,21,6,0,0,0,1,0,0
45,0,62,2,94,3,0,0,1,0,0,0
46,0,48,2,60,5,0,0,1,0,0,0
47,0,56,2,51,3,0,0,1,0,0,0
48,0,31,3,71,3,0,0,1,0,0,0
49,0,52,2,67,6,0,0,1,0,0,0
50,0,44,2,52,4,0,0,1,0,0,0
51,0,47,2,51,4,0,0,1,0,0,0
52,1,30,1,63,5,0,1,0,0,0,0
53,1,35,2,54,5,0,0,0,0,1,0
54,1,19,3,32,7,0,0,0,0,0,1
55,1,63,2,53,3,0,0,0,1,0,0
56,1,34,3,61,6,0,0,0,1,0,0
57,1,25,2,61,3,0,1,0,0,0,0
58,1,22,2,56,7,0,0,0,1,0,0
59,0,25,2,66,6,0,0,0,1,0,0
60,1,43,3,47,4,0,0,0,1,0,0
61,1,21,2,31,5,0,0,0,1,0,0
62,1,48,2,62,7,0,0,0,1,0,0
63,1,43,2,38,6,0,0,0,0,1,0
64,1,33,2,28,4,0,0,0,0,0,1
65,1,32,2,54,7,1,0,0,0,0,0
66,1,46,2,82,5,0,0,0,1,0,0
67,1,40,3,21,5,0,0,0,1,0,0
68,1,27,3,48,6,0,0,0,1,0,0
69,1,25,1,52,6,0,0,0,0,1,0
70,1,29,2,110,5,0,0,0,1,0,0
71,1,59,3,43,5,0,0,1,0,0,0
72,0,37,2,70,7,0,0,0,1,0,0
73,1,26,3,84,4,0,0,0,0,1,0
74,1,28,1,65,5,0,0,0,0,1,0
75,1,21,2,62,5,0,0,0,0,0,1
76,1,62,1,64,2,0,0,1,0,0,0
77,1,65,2,52,5,0,0,0,1,0,0
78,1,23,1,47,6,0,0,1,0,0,0
79,1,62,2,24,5,0,0,0,1,0,0
80,1,29,2,73,2,0,0,1,0,0,0
81,1,35,3,34,4,0,0,0,0,1,0
82,1,58,2,28,5,0,0,1,0,0,0
83,1,25,2,96,5,1,0,0,0,0,0
84,1,19,3,72,5,0,0,0,1,0,0
85,1,46,2,82,5,0,0,0,0,0,1
86,1,33,2,56,5,1,0,0,0,0,0
87,1,63,2,21,6,0,0,0,0,0,1
88,1,18,1,86,4,0,0,0,1,0,0
89,1,56,2,71,3,0,0,0,1,0,0
90,1,32,2,92,5,0,0,0,0,1,0
91,1,40,3,58,5,0,0,1,0,0,0
92,1,47,2,98,5,0,0,0,1,0,0
93,1,28,2,50,4,0,0,1,0,0,0
94,1,26,2,87,6,0,0,0,0,1,0
95,1,28,2,64,7,0,0,1,0,0,0
96,1,36,3,49,4,0,0,1,0,0,0
97,1,22,3,37,5,0,0,0,1,0,0
98,0,34,1,67,4,0,0,1,0,0,0
99,1,39,3,92,5,0,0,0,0,0,1
100,1,25,2,83,4,0,0,0,1,0,0
101,0,57,4,94,1,0,0,0,0,0,1
102,0,45,3,84,4,0,0,0,0,0,1
103,0,20,3,70,1,0,0,0,0,0,1
104,0,63,4,120,1,0,0,0,0,0,1
105,0,44,4,109,2,0,0,0,0,1,0
106,0,28,3,89,1,0,0,0,0,1,0
107,0,42,3,70,3,0,0,0,0,0,1
108,0,34,4,82,2,0,1,0,0,0,0
109,0,54,4,93,2,0,0,0,0,1,0
110,0,18,3,92,2,0,0,0,0,0,1
111,0,50,4,108,2,0,0,0,0,0,1
112,0,26,3,121,1,0,0,0,0,1,0
113,0,61,3,93,3,0,0,0,0,0,1
114,0,56,3,86,4,0,0,0,1,0,0
115,0,43,3,103,3,0,0,0,0,0,1
116,0,45,2,69,5,0,0,0,0,1,0
117,0,45,3,85,4,0,0,0,0,1,0
118,0,25,3,58,3,0,0,0,0,0,1
119,0,21,3,90,3,0,0,0,0,1,0
120,1,51,4,122,2,0,0,0,0,0,1
121,0,21,3,74,2,0,0,0,0,0,1
122,0,28,3,93,2,0,0,0,0,1,0
123,0,34,4,96,2,1,0,0,0,0,0
124,0,32,4,97,2,0,0,0,0,1,0
125,0,43,3,108,1,0,0,0,0,0,1
126,0,22,3,80,5,0,0,0,0,0,1
127,0,46,3,97,2,0,0,1,0,0,0
128,0,23,3,97,2,1,0,0,0,0,0
129,0,48,2,93,3,0,0,0,0,1,0
130,0,34,3,83,1,0,0,0,0,0,1
131,0,21,3,89,4,0,0,0,0,1,0
132,0,28,3,104,2,0,0,0,0,0,1
133,0,45,4,70,2,0,0,0,0,1,0
134,0,39,3,90,1,0,0,1,0,0,0
135,1,29,2,75,4,0,0,0,0,0,1
136,1,53,2,62,4,0,0,0,0,0,1
137,1,46,2,30,5,1,0,0,0,0,0
138,1,28,2,51,6,0,0,0,1,0,0
139,1,61,3,66,7,0,1,0,0,0,0
140,1,54,3,52,7,1,0,0,0,0,0
141,1,43,2,68,4,0,0,0,0,0,1
142,1,64,1,43,6,0,1,0,0,0,0
143,1,31,2,46,5,0,0,0,1,0,0
144,1,53,2,52,5,0,0,0,0,0,1
145,1,28,2,55,6,1,1,0,0,0,0
146,1,62,1,67,6,1,0,0,0,0,0
147,1,30,2,25,6,0,0,1,0,0,0
148,1,23,1,73,5,0,1,0,0,0,0
149,1,27,2,31,7,1,0,0,0,0,0
150,1,43,2,43,3,0,0,0,0,0,1
