ID,ProdQlty,DelvySpeed,PriceLvl,PriceFlex,SalesforceImg,OverallSrvc,HatcoImg,Satisfaction,UsageLvl
1,5.2,4.1,0.6,6.9,2.3,2.4,4.7,4.2,42
2,8.4,1.8,3,6.3,4,2.5,6.6,4.3,53
3,8.2,3.4,5.2,5.7,2.7,4.3,6,5.2,58
4,7.8,2.7,1,7.1,2.3,1.8,5.9,3.9,42
5,4.5,6,0.9,9.6,4.6,3.4,7.8,6.8,58
6,9.7,1.9,3.3,7.9,1.9,2.6,4.8,4.4,48
7,7.6,4.6,2.4,9.5,4.5,3.5,7.6,5.8,62
8,6.9,2.8,4.2,6.2,2.2,2.8,5.1,4.3,54
9,7.6,3.5,1.6,9.4,3,3.5,4.7,5.4,73
10,8.7,4,3.5,6.5,3.2,3.7,6,5.4,64
11,5.8,2.4,1.6,8.8,2.8,2,4.8,4.3,48
12,8.3,3.9,2.2,9.1,2.5,3,4.6,5,57
13,6.6,2.8,1.4,8.1,1.4,2.1,3.8,4.4,49
14,6.7,3.7,1.5,8.6,3.7,2.7,5.7,5,53
15,6.8,4.7,1.3,9.9,2.6,3,6.7,5.9,73
16,4.8,3.4,2,9.7,1.7,2.7,4.7,4.7,69
17,6.2,3.2,4.1,5.7,2.9,3.6,5.1,4.4,48
18,5.9,4.9,1.8,7.7,1.5,3.4,4.3,5.6,56
19,6.8,5.3,1.4,9.7,3.9,3.3,6.1,5.9,64
20,6.8,4.7,1.3,9.9,2.6,3,6.7,6,67
21,6.3,3.3,0.9,8.6,1.8,2.1,4,4.5,63
22,5.2,3.4,0.4,8.3,1.7,1.2,2.5,3.3,45
23,8.4,3,4,9.1,3.4,3.5,7.1,5.2,65
24,7.2,2.4,1.5,6.7,2.5,1.9,4.8,3.7,46
25,3.8,5.1,1.4,8.7,2.6,3.3,4.8,4.9,59
26,4.7,4.6,2.1,7.9,2.8,3.4,5.8,5.9,59
27,7.2,2.4,1.5,6.6,2.5,1.9,4.8,3.7,46
28,6.7,5.2,1.3,9.7,3.9,3.2,6.1,5.8,64
29,5.4,3.5,2.8,9.9,1.7,3.1,3.5,5.4,59
30,8.4,4.1,3.7,5.9,3,3.9,5.5,5.1,56
31,8,3,3.2,6,3,3.1,5.3,3.3,62
32,8.2,2.8,3.8,8.9,3.2,3.3,6.9,5,63
33,4.6,5.2,2,9.3,2.4,3.7,5.9,6.1,70
34,8.4,3.4,3.7,6.4,3.4,3.5,5.7,3.8,57
35,6.2,2.4,1,7.7,1.1,1.7,3.4,4.1,51
36,7.6,1.8,3.3,7.5,2.4,2.5,4.5,3.6,49
37,9.3,3.6,4,5.8,2.5,3.7,5.8,4.8,54
38,7.3,4,0.9,9.1,2.6,2.4,5.4,5.1,56
39,8.9,0,2.1,6.9,2.6,1.1,5.4,3.9,39
40,8.8,2.4,2,6.4,2.2,2.1,4.5,3.3,48
41,7.7,1.9,3.4,7.6,2.5,2.6,4.6,3.7,50
42,4.5,5.9,0.9,9.6,4.6,3.4,7.8,6.7,68
43,6.2,4.9,2.3,9.3,1.3,3.6,4.5,5.9,63
44,3.7,5,1.3,8.6,2.5,3.1,4.7,4.8,58
45,8.5,2,2.6,6.5,1.7,2.4,3.7,3.2,48
46,6.3,5,2.5,9.4,1.4,3.7,4.6,6,64
47,3.8,5.6,1.9,10,3.2,2.6,4.5,4.9,65
48,9.1,3.4,3.9,5.6,2.3,3.6,5.6,4.7,53
49,6.7,4.3,0.2,8.8,2.4,3,4.5,4.9,67
50,5.2,5.4,2.1,8,1.4,3.8,3,3.8,63
51,5.2,3.7,0.7,8.2,2.5,2.1,6,5,51
52,9,2.6,4.8,8.2,2.5,3.6,5,5.2,63
53,8.8,2.7,4.1,6.3,3.4,4.3,5.9,5.5,60
54,9.2,2.8,2.4,6.7,2.6,2.5,4.9,3.7,56
55,5.6,3.8,0.8,8.7,2.1,1.6,3.3,3.7,49
56,7.7,2.9,2.6,7.7,3.6,2.8,7,4.2,57
57,9.6,1.5,4.4,7.4,4,4.6,6.9,6.2,72
58,7.7,3.4,2.5,9.6,3,4,5.5,6,75
59,4.4,4.3,1.8,7.6,2.5,3.1,5.4,5.6,56
60,8.7,2.3,4.5,8,2.2,3.3,4.7,5,60
61,3.8,4.1,1.9,9.9,3.1,2.6,4.5,4.8,64
62,4.5,5.1,1.9,9.2,2.3,3.6,5.8,6.1,70
63,7.4,4.1,1.1,9.3,2.7,2.5,5.5,5.3,57
64,6,3,3.8,5.5,2.6,3.4,4.9,4.2,46
65,10,1.1,2,7.2,3.2,1.6,4.7,3.4,50
66,6.8,3.7,1.4,9,2.3,2.6,4.5,4.9,55
67,7.3,4.2,2.5,9.2,3.9,3.3,6.2,6,69
68,7.1,1.6,4.5,6.4,2.5,3,5.3,4.5,56
69,4.8,5.3,1.7,8.5,1.9,3.5,3.7,4.3,68
70,9.1,2.3,3.7,8.3,2.3,3,5.2,4.8,59
71,8.4,3.6,5.4,5.9,2.9,4.5,6.2,5.4,60
72,5.3,5.6,2.2,8.2,1.6,4,3.1,3.9,71
73,4.9,3.6,2.2,9.9,1.9,2.9,4.8,4.9,61
74,7.3,5.2,1.3,9.1,2.7,3.3,4.5,5.1,70
75,8.2,3,2,6.6,2.7,2.4,6.6,4.1,51
76,8.5,4.2,2.4,9.4,2.7,3.2,4.9,5.2,59
77,5.3,3.8,0.8,8.3,2.6,2.2,6.1,5.1,52
78,5.2,3.3,2.6,9.7,1.5,2.9,3.3,5.1,57
79,9.9,1,1.9,7.1,3.1,1.5,4.5,3.3,49
80,6.8,4.5,1.6,8.7,2.1,3.1,4.6,5.1,66
81,4.9,5.5,1.8,8.7,2.1,3.6,3.8,4.5,69
82,6.3,3.4,4.6,5.5,4.4,4,8.2,5.6,57
83,8.2,1.6,2.8,6.1,3.8,2.3,6.4,4.1,51
84,7.4,2.3,3.7,7.6,2.5,3,5,4.4,53
85,6.8,2.6,3,8.5,2.8,2.8,6,5.6,63
86,9,2.5,3.1,7,2.2,2.8,4.2,3.7,53
87,6.7,2.4,2.9,8.4,2.7,2.7,5.9,5.5,61
88,7.2,2.1,3.5,7.4,2.3,2.8,4.8,4.3,46
89,8,2.9,1.2,7.3,2.5,2,6.1,4,44
90,7.4,4.3,2.5,9.3,4,3.4,6.3,6.1,70
91,7.9,3,2.8,7.8,3.8,3,7.1,4.4,59
92,5.8,4.8,1.7,7.6,1.4,3.3,4.2,5.5,52
93,5.9,3.1,4.2,5.1,4,3.6,7.8,5.2,53
94,8.2,1.9,2.7,5,2.5,2.2,4.9,3.6,46
95,5,4,0.5,6.7,2.1,2.2,4.5,4,41
96,8.4,0.6,1.6,6.4,2.1,0.7,5,3.4,35
97,7.1,3.6,0.5,9.2,2.8,3.3,4.8,5.2,70
98,8.4,2,2.8,5.2,2.7,2.4,5,3.7,48
99,8.4,3.1,2.2,6.7,2.9,2.6,6.8,4.3,52
100,6,2.5,1.8,9,3,2.2,5,4.4,49
